	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
710	YP_008318505.1	VFDB|VFG000671	99.177	486	4	0	1	486	1	486	0.0	961.0
636630	YP_004286239.1	VFDB|VFG000109	100.0	399	0	0	1	399	1	399	0.0	831.0
1011892	YP_001449320.1	VFDB|VFG002121	85.033	461	47	3	1	459	1	441	0.0	758.0
420709	NP_438157.1	VFDB|VFG000965	99.703	337	1	0	1	337	1	337	0.0	683.0
1028668	NP_795593.1	VFDB|VFG000965	99.703	337	1	0	1	337	1	337	0.0	683.0
1138188	YP_001700698.1	VFDB|VFG003971	100.0	322	0	0	1	322	1	322	0.0	681.0
1138189	YP_001700698.1	PATRIC_VF|SL1344_0991	100.0	322	0	0	1	322	1	322	0.0	681.0
1159480	YP_002939733.1	VFDB|VFG001276	100.0	325	0	0	1	325	1	325	0.0	667.0
1135886	YP_002268030.1	VFDB|VFG001276	100.0	325	0	0	1	325	1	325	0.0	667.0
731918	NP_058466.1	VFDB|VFG001276	100.0	325	0	0	1	325	1	325	0.0	667.0
252798	YP_009103487.1	VFDB|VFG001276	100.0	325	0	0	1	325	1	325	0.0	667.0
421727	YP_001429895.1	VFDB|VFG001276	100.0	325	0	0	1	325	1	325	0.0	667.0
1346058	YP_007237171.1	VFDB|VFG001276	100.0	325	0	0	1	325	1	325	0.0	667.0
1355834	YP_007392407.1	VFDB|VFG001276	99.692	325	1	0	1	325	1	325	0.0	666.0
444244	YP_009187870.1	VFDB|VFG000837	100.0	319	0	0	1	319	1	319	0.0	658.0
643662	NP_859390.1	PATRIC_VF|Z1464	100.0	319	0	0	1	319	1	319	0.0	658.0
1281499	YP_007001456.1	PATRIC_VF|Z1464	100.0	319	0	0	1	319	1	319	0.0	658.0
436499	YP_009180930.1	PATRIC_VF|Z1464	100.0	319	0	0	1	319	1	319	0.0	658.0
1281498	YP_007001456.1	VFDB|VFG000837	100.0	319	0	0	1	319	1	319	0.0	658.0
436498	YP_009180930.1	VFDB|VFG000837	100.0	319	0	0	1	319	1	319	0.0	658.0
1472956	NP_050539.1	VFDB|VFG000837	100.0	319	0	0	1	319	1	319	0.0	658.0
