query_id	subject_id	identity	alignment_length	mismatches	gap_opens	q_start	q_end	s_start	s_end	evalue	bit_score
PATRIC_VF|LMOh7858_0068	PATRIC_VF|LMOh7858_0068	100	430	0	0	1	430	1	430	0	879
PATRIC_VF|LMOh7858_0068	PATRIC_VF|lmo0055	99.302	430	3	0	1	430	1	430	0	875
PATRIC_VF|Rv3864	PATRIC_VF|Rv3864	100	402	0	0	1	402	1	402	0	786
PATRIC_VF|Rv3864	VFDB|VFG002387	28.878	419	201	13	21	395	20	385	5.41e-27	108
PATRIC_VF|Rv3864	PATRIC_VF|Rv3616c	28.878	419	201	13	21	395	20	385	5.41e-27	108
PATRIC_VF|EC042_pAA007	PATRIC_VF|EC042_pAA007	100	376	0	0	1	376	1	376	0	738
PATRIC_VF|EC2861200_4977	VFDB|VFG002039	100	72	0	0	1	72	1	72	3.26e-48	144
PATRIC_VF|EC2861200_4977	PATRIC_VF|ERFG_04514	100	72	0	0	1	72	1	72	3.26e-48	144
PATRIC_VF|EC2861200_4977	PATRIC_VF|EC2861200_4977	100	72	0	0	1	72	1	72	3.26e-48	144
PATRIC_VF|Rv2813	PATRIC_VF|Rv2813	100	270	0	0	1	270	1	270	0	545
PATRIC_VF|LmonL_020200006901	PATRIC_VF|Lmon1_020100011355	100	152	0	0	1	152	1	152	8.72e-108	301
PATRIC_VF|LmonL_020200006901	PATRIC_VF|LmonL_020200006901	100	152	0	0	1	152	1	152	8.72e-108	301
PATRIC_VF|LmonL_020200006901	PATRIC_VF|VBILisMon199232_0309	99.342	152	1	0	1	152	1	152	1.35e-107	300
PATRIC_VF|EC042_4593	PATRIC_VF|EC042_4593	100	1372	0	0	1	1372	1	1372	0	2803
PATRIC_VF|EC042_4593	VFDB|VFG000903	96.501	1372	47	1	1	1372	1	1371	0	2706
PATRIC_VF|EC042_4593	VFDB|VFG000635	99.907	1070	1	0	303	1372	1	1070	0	2172
PATRIC_VF|EC042_4593	PATRIC_VF|EC2720900_3581	52.46	1382	629	14	1	1372	1	1364	0	1393
PATRIC_VF|EC042_4593	PATRIC_VF|APECO1_O1CoBM73	50.072	1398	651	20	1	1372	1	1377	0	1312
PATRIC_VF|EC042_4593	VFDB|VFG000904	47.73	1410	665	20	1	1372	1	1376	0	1222
PATRIC_VF|EC042_4593	PATRIC_VF|c0393	47.73	1410	665	20	1	1372	1	1376	0	1222
PATRIC_VF|EC042_4593	VFDB|VFG000861	100	578	0	0	1	578	1	578	0	1184
